,name,type,exp,cm_00,cm_01,cm_10,cm_11,recall,precision,f1,harmonic_mean
0,dt,r v f,resamp_4,3072,402,1245,9649,0.8857049224522118,0.9589792298546271,0.9141902446705485,0.8772601074234986
1,nbb,r v f,resamp_4,2863,611,1699,9195,0.8440224597939359,0.9228077357329687,0.860055959991912,0.802674113695643
2,knn,r v f,resamp_4,547,2927,158,10736,0.9854958256459507,0.7860902258695214,0.8743786469529506,0.26416317479746604
3,svm,r v f,resamp_4,2682,792,858,10036,0.9212229888543483,0.9253086007210067,0.9175376608828725,0.8326515203932578
